学籍番号,test
24A1001,55
24A1002,40
24A1003,55
24A1004,75
24A1005,35
24A1006,85
24A1007,90
24A1008,85
24A1009,100
24A1011,25
24A1012,85
24A1013,50
24A1014,30
24A1015,10
24A1016,45
24A1017,30
24A1018,65
24A1019,100
24A1020,40
24A1021,5
24A1022,85
24A1023,95
24A1024,20
24A1025,100
24A1026,20
24A1027,25
24A1028,60
24A1029,20
24A1030,45
24A1031,85
24A1032,60
24A1033,5
24A1034,40
24A1035,65
24A1036,10
24A1037,5
24A1038,55
24A1039,80
24A1040,45
24A1041,75
24A1042,65
24A1043,0
24A1044,30
24A1045,60
24A1046,30
24A1047,5
24A1048,95
24A1049,10
24A1050,95
24A1051,45
24A1052,85
24A1053,10
24A1054,70
24A1056,60
24A1057,90
24A1058,35
24A1059,75
24A1060,60
24A1061,55
24A1062,85
24A1063,25
24A1064,35
24A1065,25
24A1066,10
24A1067,50
24A1068,10
24A1069,100
24A1070,20
24A1071,55
24A1072,60
24A1073,70
24A1074,45
24A1075,60
24A1076,0
24A1077,55
24A1078,30
24A1079,10
24A1080,70
24A1081,0
24A1082,100
24A1083,90
24A1084,55
24A1085,10
24A1086,55
24A1087,85
24A1088,85
24A1089,20
24A1090,40
24A1091,60
24A1092,5
24A1093,55
24A1094,5
24A1095,100
24A1096,30
24A1097,5
24A1098,75
24A1099,85
24A1100,45
24A1101,95
24A1102,80
24A1103,20
24A1104,80
24A1105,0
24A1106,80
24A1107,95
24A1108,65
24A1109,60
24A1110,75
24A1111,45
24A1112,55
24A1113,0
24A1114,0
24A1115,35
24A1116,5
24A1117,15
24A1118,85
24A1119,65
24A1120,100
24A1121,45
24A1122,40
24A1123,10
24A1124,50
24A1125,55
24A1126,60
24A1127,45
24A1128,50
24A1129,5
24A1130,80
24A1131,100
24A1132,65
24A1133,75
24A1134,75
24A1135,30
24A1136,75
24A1137,0
24A1138,100
24A1139,10
24A1140,70
24A1141,65
24A1142,70
24A1143,95
24A1144,35
24A1145,5
24A1146,60
24A1147,80
24A1148,75
24A1149,65
24A1150,0
24A1151,40
24A1152,55
24A1153,70
24A1154,100
24A1155,40
24A1156,50
24A1157,45
24A1158,70
24A1159,0
24A1160,70
24A1161,65
24A1162,95
24A1163,20
24A1164,85
24A1165,60
24A1166,55
24A1167,35
24A1168,95
24A1169,25
24A2001,55
24A2002,40
24A2003,30
24A2004,65
24A2005,0
24A2006,0
24A2007,10
24A2008,40
24A2009,90
24A2010,15
24A2011,55
24A2012,35
24A2013,75
24A2014,25
24A2015,45
24A2016,40
24A2017,90
24A2018,55
24A2019,75
24A2020,45
24A2021,95
24A2022,85
24A2023,60
24A2024,30
24A2025,25
24A2026,20
24A2027,25
24A2028,30
24A2029,0
24A2030,80
24A2031,55
24A2032,35
24A2033,55
24A2034,95
24A2035,90
24A2036,30
24A2037,75
24A2038,40
24A2039,90
24A2040,35
24A2041,40
24A2042,70
24A2043,50
24A2044,5
24A2045,10
24A2046,50
24A2047,35
24A2048,90
24A2050,70
24A2051,0
24A2052,85
24A2053,15
24A2054,35
24A2055,10
24A2056,20
24A2057,15
24A2058,10
24A2059,80
24A2060,50
24A2061,25
24A2062,50
24A2063,75
24A2064,50
24A2065,0
24A2066,70
24A2067,40
24A2068,50
24A2069,50
24A2070,0
24A2071,45
24A2072,15
24A2073,5
24A2074,10
24A2075,85
24A2076,35
24A2077,0
24A2078,40
24A2079,60
24A2080,25
24A2081,70
24A2082,65
24A2083,20
24A2084,60
24A2085,55
24A2086,50
24A2087,50
24A2088,25
24A2089,50
24A2090,40
24A2091,90
24A2092,85
24A2093,45
24A2094,40
24A2095,100
24A2096,30
24A2097,45
24A2098,10
24A2099,60
24A2100,90
24A2101,65
24A2102,10
24A2103,35
24A2104,85
24A2105,10
24A2106,80
24A2107,5
24A2108,60
24A2109,100
24A2110,35
24A2111,75
24A2112,35
24A2113,0
24A2114,20
24A2115,90
24A2116,85
24A2117,95
24A2118,5
24A2119,0
24A2120,100
24A2121,60
24A2122,20
24A2123,90
24A2124,75
24A2125,100
24A2126,90
24A2127,5
24A2128,50
24A2129,45
24A2130,75
24A2131,95
24A3001,60
24A3002,0
24A3003,75
24A3004,85
24A3005,25
24A3006,60
24A3007,75
24A3008,50
24A3009,95
24A3010,95
24A3011,55
24A3012,55
24A3013,55
24A3014,25
24A3015,90
24A3016,10
24A3017,25
24A3018,5
24A3019,55
24A3020,90
24A3021,60
24A3022,15
24A3023,50
24A3024,0
24A3025,70
24A3026,80
24A3027,55
24A3028,65
24A3029,90
24A3030,55
24A3031,0
24A3032,0
24A3033,0
24A3034,75
24A3035,85
24A3036,0
24A3037,90
24A3038,55
24A3039,55
24A3040,65
24A3041,40
24A3042,75
24A3043,25
24A3044,70
24A3045,100
24A3046,55
24A3047,85
24A3048,95
24A3049,0
24A3050,35
24A3051,80
24A3052,75
24A3053,90
24A3054,25
24A3055,60
24A3056,60
